Lat,Lon,Alti
23.7808,114.2483,85.5
19.6672,110.3378,53.3
22.2667,109.55,69.6
23.75,117.1333,37.8
29.2167,115.8333,11.6
27.55,119.7,538.9
26.5833,118.7333,361.5
24.7322,112.2778,174.3
28.8667,121.1833,6.6
29.5833,106.2167,331.5
24.2667,106.2667,278.2
24.0536,105.0519,1249.6
28.5833,103.95,496.6
27.4486,112.1733,100.0
26.4278,112.8294,135.0
27.7328,106.9494,983.5
21.4058,110.81,27.3
29.7,120.25,39.1
23.2833,107.5667,146.4
29.3333,106.5,506.1
26.5,107.5833,983.8
25.2731,112.5464,292.0
24.1333,102.75,1801.8
27.1,119.65,50.5
27.8333,114.8833,189.3
26.6,107.9833,720.3
24.2333,109.2833,133.7
29.9833,103.0,627.6
20.0,110.3667,9.9
22.1167,107.0333,168.4
23.7106,113.085,79.2
23.4497,115.8492,80.9
25.9814,107.8733,447.8
29.8764,103.3581,571.2
26.8892,112.5958,104.9
29.8122,113.4422,24.7
26.4833,116.0167,209.1
27.75,112.5061,86.9
26.75,114.2833,253.0
26.4022,103.2486,2188.3
25.0833,104.9,1299.6
24.9833,107.55,749.5
27.4667,106.2333,942.0
22.7372,112.9811,47.3
29.1833,104.9833,306.2
23.4833,111.3,114.8
29.8839,110.0253,539.8
23.7667,109.15,96.7
28.0833,121.2667,95.9
23.1667,107.7,125.7
29.3517,112.4317,40.3
25.6667,114.7333,127.0
29.7333,107.2667,372.8
23.3353,113.8275,30.7
28.2333,115.8167,27.0
26.9167,118.9833,869.5
25.05,116.4167,198.0
27.5833,115.35,104.5
27.7167,102.8,2460.0
26.6306,106.7583,1103.5
29.1667,107.1167,698.8
26.6333,118.1667,152.2
26.4022,111.2886,169.0
25.7833,109.6,197.3
24.4833,108.65,185.1
26.4778,113.7919,268.8
28.7119,105.0603,420.9
25.4333,105.1833,1378.5
28.1,114.4333,122.5
26.7333,108.4333,527.2
27.2375,108.9181,394.8
28.9,118.5,137.0
28.5061,112.1711,136.9
28.3331,106.2164,1180.2001
24.5,105.0833,827.1
23.9114,115.7514,135.9
28.8792,107.6,685.6
29.6667,104.0667,404.4
29.5167,104.6667,351.1
29.35,115.7333,80.6
29.8333,103.8667,455.2
24.8819,104.3231,1482.7001
22.2658,112.2306,69.3
27.7167,117.0667,225.1
28.3303,105.2589,367.0
29.8,121.5,6.2
22.9836,116.3014,42.0
26.7944,112.1047,151.6
22.1667,111.7833,37.7
27.6908,112.0011,205.8
25.3328,118.2722,183.8
21.6331,110.3033,29.3
29.8933,116.5447,99.1
26.0833,119.3333,25.6
25.1167,105.4833,1394.5
22.9619,113.3628,66.6
29.5833,106.4667,259.1
29.8167,119.6833,46.1
25.05,117.0167,376.0
29.1167,121.3833,34.5
26.2333,109.1333,568.8
24.3886,114.4958,283.9
29.5667,115.9833,1164.5
27.9,116.2667,73.7
23.4403,104.6833,1507.5
24.1833,110.8,105.8
28.6833,116.6833,21.1
26.2258,111.6167,172.6
22.2472,112.7858,33.1
29.6675,111.7258,38.1
27.3731,102.5478,1530.7001
28.55,102.1667,1774.0
24.6667,113.6,121.3
23.7167,108.1167,219.0
28.7872,105.3928,368.8
27.9167,110.6,204.0
26.4956,111.6161,192.8
25.15,115.4,305.0
27.8756,112.8275,63.8
20.2428,110.165,11.4
25.7,117.8333,400.1
25.5167,118.2333,645.6
26.1433,106.6581,991.6
24.4667,109.3833,97.5
25.0078,102.6531,1888.1
26.4544,106.9792,1093.1
25.4103,107.8803,429.9
29.1183,110.4172,218.5
24.4167,111.5,148.7
24.9833,110.0,156.8
24.7844,113.2867,131.1
28.5833,115.9,47.2
29.3,117.2,61.5
23.3917,111.5047,83.6
27.05,108.4167,516.3
23.0,102.4167,1642.8
28.85,104.9667,292.8
29.6108,114.4578,99.9
26.9167,120.2333,92.2
19.2089,110.4819,23.3
19.1,108.6167,7.6
25.0806,114.255,149.7
28.6167,121.4167,4.6
29.05,120.4333,304.5
28.1333,120.2833,57.8
25.85,116.3667,310.0
25.0167,117.5333,166.5
28.4667,110.4,151.6
22.2292,113.2969,23.1
24.8,118.55,135.0
26.7947,113.5478,136.2
29.2833,106.25,261.4
24.7333,116.7167,226.9
28.4667,117.9,121.3
25.3667,118.7,77.7
28.0667,120.9667,60.8
27.8689,113.1736,74.6
27.7772,107.5081,807.6
25.7353,112.9739,368.8
22.6667,110.1167,121.6
28.7283,112.9253,63.0
25.9333,111.0667,195.6
25.6725,119.3792,75.0
28.2544,112.555,74.7
22.6833,108.45,106.9
26.5883,107.2489,1056.2001
28.0333,120.65,28.3
23.6794,116.9861,44.7
23.5686,113.6156,38.1
29.9167,113.9667,61.7
25.4058,112.9406,222.8
27.0253,110.6064,339.5
19.6167,110.75,21.7
23.6325,105.6286,685.8
27.1314,105.5989,1721.5
24.19,102.9094,1702.6
29.7667,104.85,369.4
25.7667,106.0833,1197.6
24.6808,102.5742,1979.2001
26.3228,107.5139,967.7
26.4603,110.8344,346.1
27.2975,105.2886,1510.6
24.5,109.7833,131.5
28.3333,103.1333,1943.9
29.85,106.0667,326.3
24.0167,108.65,147.5
24.5625,115.8706,200.8
23.3833,108.6167,140.3
23.0261,114.6683,85.0
26.3333,114.5167,126.1
23.2597,111.5431,70.6
26.6833,105.7667,1319.3
23.2286,102.8214,312.3
27.0858,106.9075,1298.9
21.6667,109.1833,5.5
29.5647,103.7553,424.2
26.15,118.15,204.8
27.9167,116.7833,130.2
27.4167,102.1833,1380.0
24.5167,117.3833,53.7
25.8,110.0,268.0
18.55,110.0333,35.2
26.0797,113.9447,835.9
28.8167,108.7667,826.5
22.3333,106.85,128.8
28.65,102.5167,1659.5
29.6,120.8167,104.3
24.8333,110.8167,169.6
24.55,107.0333,509.4
27.1833,111.45,311.0
24.7,108.0333,260.2
24.4,103.45,1415.5
28.4167,117.6,79.0
26.5,119.55,78.5
27.0308,108.1217,547.3
24.1333,117.5833,61.1
27.3681,109.1636,355.5
26.15,119.15,57.8
26.2,107.8,963.2
19.5167,109.5833,169.0
28.7689,104.6053,502.8
25.9333,108.5167,285.7
29.1333,118.4,153.6
23.4308,116.8361,4.1
24.5,117.65,28.9
24.1333,107.25,254.9
24.8108,112.3708,131.7
24.9,118.9167,21.8
25.4,114.35,215.6
25.55,102.45,1750.9
25.0833,110.3167,151.3
29.3167,121.4333,39.3
26.2167,105.4631,1407.3
22.9906,112.4786,60.0
25.3558,103.0775,1915.7001
25.45,119.0,81.1
22.7833,108.55,152.0
22.8486,113.2442,21.4
29.2667,120.2167,89.9
27.5667,108.2333,467.5
27.7,103.25,1093.0
24.4631,114.9419,207.9
26.755,112.6914,137.0
26.3667,110.3167,477.7
25.1819,111.5703,265.7
28.0833,119.1333,222.1
27.3517,103.7189,1949.5
27.0,111.2833,283.3
26.4,117.8,120.6
29.2,103.95,387.6
18.7667,109.5167,328.5
28.6808,109.6481,438.1
29.2333,102.35,890.7
21.7833,108.35,32.4
25.5814,112.3653,214.5
27.495,120.3875,118.7
26.65,102.5833,1694.5
27.9275,112.53,88.3
26.22,118.8628,149.0
29.3667,117.2167,87.3
23.9397,112.1903,107.2
29.8667,118.4333,168.7
25.2333,102.5,1692.7001
25.8667,118.9333,85.6
23.6,107.1167,111.2
22.0667,106.7333,348.7
19.3667,110.1,118.3
24.4731,112.6319,70.5
27.0667,102.75,993.6
26.5139,109.2556,476.2
27.3333,117.4667,218.0
29.72,113.8667,46.9
25.4286,106.7636,450.3
28.5364,107.4583,816.4
19.2333,109.4333,215.6
24.6167,117.75,43.0
29.9333,117.9333,227.5
26.0333,110.6333,408.4
24.5333,103.7667,1704.3
23.9833,109.7,124.3
23.1167,107.1333,454.2
25.9458,117.3678,257.8
28.8167,103.5333,564.1
27.0164,106.0178,1322.0
27.9,102.2667,1590.9
21.5458,110.9886,31.8
29.0403,119.1947,66.2
28.3667,121.3667,35.3
23.75,106.95,133.0
29.5167,108.7667,786.9
28.0,110.2,152.8
29.25,115.1167,116.0
22.3,109.9833,85.9
28.4167,115.3833,46.8
28.2833,117.7,100.3
23.0181,115.3125,45.6
24.95,115.65,303.9
23.1786,114.2564,50.2
27.1264,111.0064,308.4
23.6,109.6667,70.0
29.6833,116.2167,35.2
24.1142,115.2758,179.6
25.7167,116.7333,404.0
27.7833,120.0833,105.4
29.8333,107.0667,377.6
28.0,102.85,2132.4001
24.3833,117.3,108.5
28.85,115.55,40.7
29.4581,109.4433,488.7
23.6372,112.4242,92.7
23.3853,116.6792,2.3
25.3167,110.3,164.4
28.3833,114.7667,91.7
28.45,117.9833,118.2
28.4667,119.9333,59.7
26.6667,119.5167,32.4
26.9742,112.3669,90.8
23.6036,104.3378,1561.1
28.7167,118.6,126.3
26.5617,109.6733,320.3
21.0333,109.1,55.2
23.25,108.8333,127.7
29.4811,113.4478,60.4
23.7936,114.7297,71.1
22.5319,113.0347,36.3
24.1678,115.7156,123.6
26.2833,115.35,184.0
22.5,103.95,137.8
28.1561,113.6306,101.1
24.2811,116.0692,116.0
28.3833,117.45,70.0
28.2667,103.5833,1255.8
25.8667,115.0167,137.5
29.5214,103.3356,3069.9001
24.4333,117.8333,32.1
25.1167,109.25,238.3
29.0078,109.8383,268.2
26.8333,116.85,342.3
27.9614,107.1811,889.3
27.4142,104.8736,1645.2001
27.185,108.8236,423.0
29.8678,117.6922,191.0
27.3333,115.4167,85.7
22.8667,107.1667,278.3
22.9833,103.6833,1414.1
27.7914,120.6503,37.6
25.2747,119.105,65.3
27.3833,114.6,85.9
23.7833,117.5,53.3
24.7728,118.1775,45.6
18.65,109.7,68.6
24.2,110.5167,181.9
27.2333,119.8833,684.1
29.7,115.6667,41.2
28.9203,111.9583,31.9
22.9661,113.7389,56.0
27.8,106.4,890.3
25.7506,104.5281,2125.9001
24.9086,102.8258,1976.6
22.275,113.5669,51.4
28.3,102.4333,1818.1
26.9181,102.9267,893.9
25.5008,102.4233,1799.1
19.0353,109.8419,300.8
27.6333,114.0167,177.2
24.0442,104.1828,1518.7001
25.5167,119.7833,32.4
29.3833,121.9167,4.5
22.5417,114.0033,63.0
23.0186,104.3992,1332.9
28.0114,108.3983,521.5
29.15,120.9667,107.6
27.3,116.9167,131.1
18.7494,109.1639,155.0
28.95,102.7667,1060.3
25.2333,110.15,222.5
23.55,110.4167,83.0
28.2667,116.6,82.4
27.7667,118.0333,222.1
29.7333,106.6333,464.7
22.4167,109.3,66.6
24.9611,114.0467,143.9
27.7161,108.8492,493.7
28.4406,104.5036,378.1
29.3,108.1667,322.2
29.7167,118.2833,142.7
28.95,117.5833,88.5
23.1969,112.8767,24.0
25.3833,112.2,277.0
27.3767,118.8247,262.4
27.7667,116.05,78.6
24.7833,106.55,972.1
29.41,112.2047,33.6
24.5333,107.3833,248.8
29.9006,107.7594,393.5
23.4167,105.8167,855.8
29.7108,105.6931,541.0
28.15,120.6833,34.3
24.4833,118.0667,139.4
27.2961,112.6936,1265.9
26.0667,105.75,1251.0
28.3167,117.2333,60.8
29.8514,114.3669,98.8
23.9,106.6,174.7
23.9333,108.1,170.8
23.3442,112.6439,40.1
21.6667,108.4,49.3
21.7494,110.9122,33.5
26.2,119.55,13.4
26.5897,106.7275,1227.3
27.455,119.5022,845.2
29.8833,121.8333,5.0
23.3667,102.4333,974.5
23.3333,110.0333,130.3
24.9833,105.8167,584.8
26.4667,114.7833,101.6
25.5144,113.6819,645.6
25.7494,112.7247,329.1
26.9167,102.1167,1136.9
27.2581,112.8372,159.1
27.1042,106.7225,1112.3
28.45,118.2,150.0
28.85,118.0167,237.0
28.595,104.9456,418.0
26.8833,120.0167,56.8
26.2167,104.0833,1984.2001
28.1603,109.195,406.1
27.0919,104.69,1629.6
26.7333,110.6333,341.0
22.6167,107.9167,146.1
26.4086,112.3942,116.6
26.5833,110.15,310.3
29.9,115.2167,57.0
26.9,117.1667,342.9
27.3333,120.2,36.2
29.15,105.3667,301.0
27.05,114.9167,71.2
21.1547,110.3022,53.4
29.6844,109.1436,776.9
24.75,114.5167,277.1
21.9833,108.6,49.2
27.5167,118.75,260.2
29.3333,120.0833,90.0
29.6347,114.2053,751.6
27.7475,103.8928,1176.2001
25.5203,103.2667,1865.8
25.4025,105.6125,1184.9
29.0,106.65,474.7
22.7833,103.2333,1260.0
27.5653,110.0036,257.8
24.6453,116.17,135.7
29.45,104.4333,384.1
26.7147,117.4883,286.9
25.0589,113.7631,112.7
24.6783,102.9231,1796.3
27.8517,105.0544,1217.7001
28.2333,114.9667,93.4
26.5947,111.8572,113.2
23.3833,111.25,77.7
25.9114,112.2067,224.2
24.7503,103.2636,1695.8
25.8461,107.3456,821.2
26.8167,114.8833,103.4
26.35,116.35,280.2
28.3833,111.2167,128.3
26.25,105.9,1431.1
29.5833,111.3633,116.9
26.7031,107.5044,924.8
23.1258,104.7014,1093.4
25.1833,106.0833,566.8
26.8383,106.6,1296.8
25.3,117.4167,205.3
27.1333,113.95,194.5
24.7833,115.0333,253.0
29.54,114.0386,78.5
29.05,115.8167,36.6
27.0914,112.9464,70.3
21.5667,107.95,56.8
25.4833,111.15,263.1
29.4667,119.8833,115.8
28.6833,118.25,116.3
24.8922,103.1356,1639.5
29.0,118.9,82.4
27.8833,113.8167,118.6
29.7533,103.5522,475.0
23.6286,115.1761,176.6
24.0408,114.2139,269.3
26.5833,104.8667,1815.9
29.3667,105.9,353.0
24.8167,108.2667,342.3
29.2281,103.2614,642.2
29.9833,121.6,4.0
25.6,115.8,167.4
29.4167,105.5833,338.0
28.1092,104.2425,448.8
23.3322,104.2767,1293.5
28.45,121.9,86.2
27.1931,103.5564,1952.2001
25.0667,118.2,130.6
25.9167,116.0167,289.8
23.7172,103.285,1195.5
29.2739,113.8786,146.2
28.4269,119.4808,152.2
24.1906,113.4133,74.4
26.4,117.15,357.4
26.5833,114.1667,843.0
28.7167,115.35,80.4
24.3667,109.4667,306.0
22.4036,112.6517,29.3
26.8,117.8,175.2
29.5364,112.5981,49.5
27.9833,115.55,66.2
22.3469,110.925,141.4
22.8333,110.5333,131.5
27.4167,115.8333,181.8
23.3894,103.1458,1848.8
23.4203,113.2367,38.9
23.5883,116.3994,43.9
21.8453,111.9783,90.3
29.6167,119.0167,171.4
27.2328,107.8828,622.1
29.4833,119.2667,88.9
26.1019,103.1669,1263.8
24.1333,110.1833,830.9
28.8667,120.7167,83.0
24.5,111.3,168.0
24.5,110.4,165.7
28.3667,109.0167,548.7
29.3311,105.2997,385.7
29.9167,115.6333,23.5
23.3983,116.1964,69.0
28.6244,109.9661,302.1
21.6472,110.6144,31.9
24.9667,118.3667,172.8
26.9,107.9,825.0
29.7894,118.1803,170.2
27.15,119.35,899.3
28.8167,105.8333,283.4
24.3333,102.55,1716.9
27.7,111.4333,249.2
23.7167,102.4667,1478.5
25.5,103.8,1906.2001
28.6833,117.0667,56.0
26.2333,116.6333,358.9
27.9833,107.7167,710.2
19.2667,109.05,98.1
23.6686,116.6989,60.7
29.8878,102.2131,1403.2001
24.65,110.6333,157.6
22.8,109.25,88.7
19.9,109.6833,31.7
26.1667,109.7833,397.5
22.95,111.0,202.0
29.6667,116.0167,74.8
29.2,121.95,128.4
24.3439,116.6997,80.1
28.85,115.3667,78.9
27.2375,111.7361,252.6
28.5644,108.5042,503.2
23.77,116.1744,45.3
23.6167,102.8333,1309.3
29.4014,110.1622,322.2
22.1833,108.0167,216.0
27.9311,108.245,574.9
29.6167,105.1167,349.7
27.3333,118.1167,196.9
29.9986,109.4753,571.8
26.2667,117.6167,208.2
29.595,103.5906,423.5
29.3436,102.6367,1098.0
26.0322,111.6567,205.0
23.8814,113.5228,97.2
28.2,116.8167,47.1
27.2167,116.5333,111.5
27.5333,117.3167,268.2
26.7139,113.2586,101.8
25.2333,109.4,161.5
29.3167,107.75,406.9
25.9403,105.5961,1142.0
26.4097,106.6711,1149.0
28.1653,105.4317,377.5
28.9894,106.9186,599.8
27.3411,111.4464,294.1
22.8,115.3667,16.7
28.85,112.3667,37.0
25.6,103.8167,1891.5
26.8628,104.2803,2238.6
25.7564,108.9094,258.1
21.7358,112.7731,21.9
27.9528,109.5953,349.6
27.7833,114.3667,131.3
25.35,114.8667,204.4
29.5167,120.8833,115.1
27.5211,109.2061,884.3
28.1,119.5667,163.0
25.4333,103.5667,2067.1
29.1167,119.65,62.6
27.8706,109.7961,176.6
29.4317,111.0878,174.1
27.6406,113.5064,74.4
18.2244,109.5897,419.4
25.7167,118.1,1653.5
28.8564,113.1069,82.5
24.2864,102.7628,1731.1
25.0833,116.1,307.0
21.45,109.1333,12.8
28.5667,115.9667,31.9
28.3833,104.7833,368.2
26.58,106.4692,1300.1
24.7833,105.3333,672.2
27.5833,116.65,80.8
29.9667,106.2667,364.5
28.0333,105.8167,537.7
24.8158,103.9839,1900.9
24.8667,114.8,250.2
27.75,111.3,211.9
24.5728,112.0728,300.6
28.1086,112.7864,119.0
20.0,110.25,63.5
27.05,118.3167,154.9
26.1269,113.1144,167.6
29.0333,114.5833,146.8
21.9425,110.8592,77.0
26.9667,108.6667,626.9
24.9789,103.6172,1857.6
28.2117,113.1972,101.4
26.9333,114.25,153.0
27.2117,109.8353,252.0
25.8167,114.5667,140.2
27.55,116.2333,120.4
25.6167,110.6667,224.0
23.21,113.4822,70.7
24.3833,106.5333,544.6
18.8,110.3333,39.9
27.6333,104.0667,1035.0
28.6667,120.0833,184.7
28.2383,103.6231,975.6
24.65,109.25,218.6
25.5944,111.9622,244.2
24.6581,102.1811,1600.9
25.1144,102.0997,1671.4
28.8833,119.8,105.1
25.9667,119.5,25.9
22.6667,110.3833,155.1
23.4275,117.0292,8.0
29.0,116.6667,40.1
26.8333,116.3,166.3
29.1169,111.6764,150.6
25.8333,105.2167,1552.7001
29.4692,111.6686,89.3
26.6711,106.6536,1299.0
26.65,102.25,1787.3
27.0556,113.3531,115.2
29.2167,119.4833,50.2
28.7119,113.5714,106.3
29.35,104.7667,352.6
27.2167,115.1333,66.2
26.0833,119.2833,84.0
26.4167,106.2667,1298.2001
28.9508,103.8983,424.0
22.71,111.6,60.0
28.2381,109.6819,254.6
24.7667,110.5,136.7
27.6667,120.5667,254.0
23.0711,114.3744,108.5
25.7833,104.9667,1649.4
24.1836,102.4075,1600.0
24.9667,107.1833,287.3
27.6333,113.85,117.5
28.5244,107.8869,660.3
26.7667,105.3667,1457.1
29.6167,115.9,63.1
25.4281,110.3397,191.0
29.5278,109.4208,502.8
29.85,106.45,240.8
26.0117,106.4431,1186.7001
25.5336,111.5961,192.2
22.9653,115.6519,32.0
28.5333,114.3667,259.8
26.4,108.0667,839.0
26.9,109.2,401.4
26.1892,116.7917,363.1
28.6922,104.5053,476.9
28.6,119.2833,237.8
28.5667,112.3833,46.3
21.4036,110.2444,29.7
29.0167,117.1,51.2
24.9236,102.4972,1893.4
27.7053,111.6786,249.2
23.165,111.7775,47.2
28.9133,111.4797,48.7
29.6592,112.4125,37.4
29.45,116.0333,37.1
29.25,116.1833,77.5
28.5631,105.7122,354.6
22.3833,107.3833,195.8
26.8767,109.72,281.4
23.9833,117.3667,22.8
29.3806,113.0878,53.0
28.3167,117.05,55.8
19.7369,110.0164,31.4
23.3667,110.9,105.5
25.9744,113.2172,139.3
28.2269,110.2058,186.0
28.4,116.2833,67.2
23.1,106.45,724.7
29.7,121.3833,41.5
24.8167,111.2667,193.1
25.9667,115.4167,133.2
29.9833,108.1333,632.3
26.3056,105.7375,1281.8
28.1333,106.8333,972.0
28.5772,109.4567,341.0
28.0,119.6333,246.8
27.9167,118.5333,276.9
28.1542,104.5042,549.0
28.2458,108.1047,629.5
24.3483,114.1133,184.1
27.7303,109.1764,353.2
27.6167,119.0833,400.8
29.2833,117.85,171.0
24.9622,102.6242,2358.3
22.5,113.4,33.7
25.6833,104.25,1925.8
23.3333,106.6333,680.0
26.6833,108.3,641.3
24.7833,108.8667,363.0
25.8325,107.5481,1013.8
27.4547,109.6811,272.2
27.75,115.4,46.5
23.1833,108.3,155.3
25.1103,113.345,143.2
23.05,109.5667,57.1
27.0422,107.4625,1128.6
22.9414,112.0525,101.4
22.3167,110.2667,121.6
27.8167,114.6833,93.7
28.8394,104.3319,386.5
27.5333,106.8333,974.1
22.7019,112.2083,57.6
23.145,113.0089,30.1
25.2761,111.3094,269.0
28.9,120.0333,102.9
23.4444,103.3278,1313.6
25.7,114.3167,280.0
23.2581,116.5886,6.7
29.8753,112.9044,26.2
27.8342,121.1503,68.6
20.9619,110.0678,33.6
28.7167,115.8333,40.0
29.7875,102.8444,797.5
